coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
straks,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,18,0,N/A,N/A,N/A,0.0,40407,0.27,0.12,1.95,1.95,0.566,1.0,0.034,-0.087
ergo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,662,0.13,0.13,2.14,2.14,-0.072,-6.0,0.018,-0.017
live stars,15 Jan 2018,15 Feb 2018,31.0,104.0,5,saas,6,2518564.0,5000000.0,0.5,0.2,2749,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xenon,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,15384,0.2,0.19,3.09,3.09,-0.184,-34.5,0.036,-0.013
trustplus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,28646,-0.36,0.04,0.61,0.61,-0.035,2.0,0.023,-0.04
e-gulden,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,92,0.26,0.18,2.82,2.82,-0.02,2.5,0.013,-0.08
condensate,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1098,0.25,0.26,4.07,4.07,-0.293,-1.0,0.029,-0.02
intensecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6,0,N/A,N/A,N/A,0.0,14645,0.17,0.25,4.01,4.01,-0.054,-5.5,0.016,0.01
zero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,1976,0.21,0.15,2.37,2.37,0.131,-5.5,0.02,0.033
magiccoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,66069,-0.31,-0.23,-3.68,-3.68,-0.487,-16.0,-0.025,0.073
buzzcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,57480,0.25,0.13,1.99,1.99,0.147,73.0,0.04,0.163
hat.exchange,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creativecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2140,0.33,0.21,3.32,3.32,-0.025,-5.0,0.019,-0.097
hirematch,1 Oct 2017,15 Feb 2018,137.0,104.0,1,fintech,4,16000000.0,N/A,N/A,0.17,N/A,0,1937,N/A,N/A,-0.832,98386,0.03,0.16,2.52,2.52,-0.053,-2.5,0.013,-0.007
argentum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.49,0.17,2.75,2.75,-0.015,6.0,0.046,0.003
dcorp,01 Jun 2017,29 Jun 2017,28.0,335.0,12,fintech,4,N/A,N/A,N/A,N/A,1722,0,N/A,N/A,N/A,0.0,199375,-0.09,0.13,2.12,2.12,0.076,24.0,0.009,0.31
capricoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2470,0.2,0.19,3.06,3.06,-0.161,-0.5,0.011,0.007
ethersportz,9 Jan 2018,10 Jan 2018,1.0,140.0,1,entertainment,6,3500000.0,3500000.0,1.0,0.5,1778,0,N/A,N/A,N/A,0.123,71545,0.12,0.04,0.57,0.57,1.062,1.5,0.017,-0.053
titanium bar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
the cypherfunks,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
crycash,12 Dec 2017,31 Jan 2018,50.0,119.0,5,blockchain,6,N/A,N/A,N/A,1.1,3129,0,1431,N/A,N/A,-0.574,50581,0.07,0.57,1.14,1.14,0.188,4.0,-0.003,-0.03
origami,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,206703,0.0,0.02,0.03,0.03,2.284,-2.5,0.006,0.053
flik,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,562676,0.19,0.11,1.72,1.72,-0.242,-7.0,0.016,0.107
chronologic,25 Aug 2017,25 Sep 2017,31.0,247.0,12,fintech,3,7400000.0,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,108.4,23084,-0.02,-0.0,-0.02,-0.02,-0.009,7.5,0.011,-0.02
vivo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27377,0.3,0.16,2.54,2.54,0.047,-2.0,0.007,-0.01
magnet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,53402,0.15,0.19,3.04,3.04,0.118,-4.0,0.006,-0.013
litedoge,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,9902,-0.05,0.11,1.75,1.75,0.295,-33.0,0.171,-0.01
linx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,32224,0.25,0.18,2.9,2.9,0.017,-8.0,0.018,0.01
vsync,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,753,-0.26,0.06,0.9,0.9,0.424,-7.0,0.032,0.047
soma,27 Sep 2017,14 Nov 2017,48.0,197.0,5,ecommerce,11,6049621.0,39800000.0,0.15,0.74,1595,0,4883,N/A,N/A,-0.686,6114,0.39,0.15,2.37,2.37,-0.254,33.0,0.025,0.04
bunnycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,16,0.36,0.2,3.13,3.13,0.499,35.0,0.116,-0.213
ellaism,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,22882,0.28,0.28,4.47,4.47,-0.096,-4.5,0.012,0.007
skincoin,21 Jun 2017,21 Jul 2017,30.0,313.0,2,blockchain,5,3292183.0,10000000.0,0.33,0.04,729,0,6689,N/A,N/A,-0.08,9042,-0.18,0.0,0.0,0.0,-0.345,-6.0,0.009,-0.04
ebitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
digitalprice,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,542,0.18,0.16,2.56,2.56,-0.709,-12.0,0.056,0.0
apr coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
martexcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,14,0.29,0.2,3.15,3.15,-0.289,-6.0,0.068,-0.057
united crypto...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
datarius credit,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
boutspro,11 Mar 2018,25 Mar 2018,14.0,66.0,4,blockchain,32,N/A,7000000.0,N/A,0.007,13102,0,9825,N/A,N/A,2.189,100240,0.04,0.3,0.6,0.6,-0.315,-4.5,0.001,-0.03
obsidian,12 Aug 2017,26 Aug 2017,14.0,277.0,4,saas,6,1566332.0,8820000.0,0.18,0.15,801,0,8792,N/A,N/A,1.49,262223,0.12,0.15,2.45,2.45,-0.037,-0.5,0.003,-0.053
tidex token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deutsche emark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
incakoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,325,0.12,0.02,0.3,0.3,0.068,-4.0,0.089,-0.047
biotron,27 Mar 2018,05 Apr 2018,9.0,55.0,12,other,N/A,N/A,N/A,N/A,0.22,2447,0,N/A,N/A,N/A,-0.814,955,0.16,1.3,2.61,2.61,0.382,-0.5,0.018,0.017
unbreakablecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1272,0.14,0.07,1.14,1.14,1.848,-5.0,0.447,0.0
earth token,15 Dec 2017,15 Mar 2018,90.0,76.0,11,saas,11,N/A,N/A,N/A,0.16,13258,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
speed mining ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitzeny,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,14,0.29,0.13,2.13,2.13,-0.033,-2.0,0.021,0.03
808coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24,0.13,0.16,2.46,2.46,0.191,-14.0,0.035,-0.017
innova,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1137,0,N/A,N/A,N/A,0.0,160993,0.12,0.17,2.72,2.72,-0.133,1.5,-0.004,-0.01
qvolta,10 Oct 2017,20 Oct 2017,10.0,222.0,7,blockchain,4,729652.0,4700000.0,0.16,0.3,1614,0,0,N/A,N/A,0.064,40141,0.06,0.14,2.28,2.28,0.112,-18.0,0.016,-0.023
blocklancer,16 Jan 2018,16 Feb 2018,31.0,103.0,5,fintech,5,30000010.0,90000000.0,0.33,0.09,N/A,0,50,N/A,N/A,-0.795,34683,0.24,0.1,1.62,1.62,1.006,-1.0,0.02,-0.073
digitalcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,-0.04,0.05,0.79,0.79,0.284,-4.0,0.011,0.013
bytecent,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1665,-0.05,-0.06,-0.94,-0.94,-0.123,-4.0,0.006,-0.03
fitrova,N/A,N/A,N/A,N/A,9,insurance services,7,N/A,326000000.0,N/A,0.0051,N/A,0,N/A,N/A,N/A,-0.074,60307,-1.63,-2.82,-5.63,-5.63,-0.018,42.0,-0.091,-0.417
centra,03 Aug 2017,02 Oct 2017,60.0,240.0,1,fintech,19,26100000.0,26100000.0,1.0,0.73,1188,0,46,N/A,N/A,-0.527,2484,0.24,0.14,2.22,2.22,-0.206,28.5,0.044,0.147
wild crypto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
draftcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,10,0.22,0.18,2.87,2.87,0.611,-5.5,0.015,0.007
ong.social,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pluscoin,26 Sep 2017,10 Oct 2017,14.0,232.0,8,blockchain,13,9598000.0,N/A,N/A,1.49,116,0,247,N/A,N/A,-0.999,67444,-0.11,0.08,1.23,1.23,-0.741,-35.0,0.057,0.643
wandx,27 Oct 2017,21 Nov 2017,25.0,190.0,7,other,6,86654.0,N/A,N/A,0.09,2377,0,6310,N/A,N/A,4.727,90663,0.3,0.04,0.6,0.6,0.346,-4.0,0.01,-0.023
bitdeal,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,13133,0.22,0.11,1.78,1.78,-0.158,0.0,0.013,-0.047
bitwhite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,255839,0.15,0.05,0.86,0.86,-0.612,-2.0,0.009,-0.04
onix,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,56,0.23,0.13,2.13,2.13,-0.671,0.5,0.052,-0.003
unitus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,638,-0.25,-0.12,-1.86,-1.86,-0.12,-1.5,0.026,-0.013
wearesatoshi,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1087,0.08,0.02,0.34,0.34,-0.049,-6.0,0.042,-0.013
tokendesk,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,257351,0.2,1.59,3.18,3.18,1.469,-3.5,0.015,0.017
megacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.62,0.17,2.72,2.72,0.109,-10.5,0.008,0.017
renos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1091,0.23,0.31,4.87,4.87,-0.277,10.0,0.032,-0.03
fundyourselfnow,13 Jun 2017,31 Jul 2017,48.0,303.0,12,other,9,N/A,N/A,N/A,N/A,5193,0,N/A,N/A,N/A,0.0,27307,0.24,0.14,2.2,2.2,0.176,-7.5,0.018,-0.003
shekel,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,171852,-0.16,-0.17,-2.73,-2.73,-0.155,0.5,-0.011,-0.007
bitjob,12 Sep 2017,13 Oct 2017,31.0,229.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2176,0,6872,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nitro,30 Nov 2017,26 Dec 2017,26.0,155.0,3,saas,16,2694156.0,58000000.0,0.05,0.97,16203,0,3724,N/A,N/A,0.577,131540,0.07,0.07,1.18,1.18,-0.381,3.5,0.027,0.11
cryptonite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,11099,-0.21,-0.14,-2.23,-2.23,0.124,8.0,0.022,0.067
maza,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
advanced tech...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
happycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1585,0,N/A,N/A,N/A,0.0,263,0.24,0.17,2.68,2.68,-0.454,-5.0,0.062,0.05
zetacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.06,0.05,0.78,0.78,0.555,3.0,0.015,0.0
tigereum,8 Dec 2017,18 Dec 2017,10.0,163.0,4,saas,15,N/A,12000000.0,N/A,0.067,N/A,0,3563,N/A,N/A,1.166,195263,0.29,0.14,2.27,2.27,-0.112,-16.5,0.02,-0.08
phi token,8 Mar 2018,21 Mar 2018,13.0,70.0,5,other,16,3800000.0,N/A,N/A,1.61803,26499,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
roulettetoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,53765,0.18,0.03,0.41,0.41,-0.33,5.0,0.026,0.053
kolion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,71399,0.18,0.43,6.89,6.89,-0.004,-6.0,0.001,0.0
legends room,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
miners' rewar...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
petrodollar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,119,0.26,0.21,3.31,3.31,0.157,-5.5,0.09,-0.027
plancoin,24 Jan 2018,23 Feb 2018,30.0,96.0,12,blockchain,N/A,1700000.0,N/A,N/A,0.6,N/A,0,1895,N/A,N/A,-0.584,282642,0.03,0.21,0.41,0.41,0.886,16.0,-0.004,-0.2
bata,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1,0.04,0.16,2.54,2.54,-0.15,-2.0,0.027,0.007
sagacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,77967,0.37,0.16,2.61,2.61,-0.879,-9.0,0.005,0.01
equal,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,294780,-0.02,-0.1,-1.62,-1.62,-0.135,-4.0,-0.004,-0.04
fujicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,15,0,N/A,N/A,N/A,0.0,7,0.25,0.16,2.6,2.6,-0.012,5.5,0.055,0.04
moin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3,0.19,0.23,3.67,3.67,-0.046,2.0,0.038,0.093
universe,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2054,0.17,0.14,2.29,2.29,0.234,-28.0,0.045,-0.113
minereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,338,0.39,0.19,3.06,3.06,0.471,38.0,0.038,0.23
arbitragect,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,26247,0.22,0.12,1.88,1.88,0.056,6.5,0.016,-0.027
platinumbar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,532,0.21,0.22,3.5,3.5,-0.268,-3.5,0.08,-0.06
vulcano,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29481,-0.03,0.07,1.1,1.1,-0.226,5.0,0.004,-0.08
fantasy cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mcap,27 Apr 2017,7 May 2017,10.0,388.0,1,blockchain,N/A,44287318.0,N/A,N/A,4.0,N/A,0,152,N/A,N/A,0.635,3797,-0.1,-0.14,-2.3,-2.3,0.035,-1.5,-0.004,-0.023
kubera coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
adzcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,660,0.23,0.07,1.06,1.06,-0.03,-5.5,0.012,-0.023
procurrency,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1210,0.17,0.13,2.07,2.07,-0.365,-6.0,0.028,-0.06
authorship,15 Aug 2017,14 Sep 2017,30.0,258.0,1,telecommunications,1,N/A,7000000.0,N/A,0.04,138,0,11616,N/A,N/A,-0.287,12714,0.1,0.11,1.74,1.74,-0.097,-2.5,0.019,0.003
eltcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,8558,0.32,0.29,4.63,4.63,-0.313,-15.0,0.037,0.027
insanecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,334,0.4,0.19,3.06,3.06,0.15,20.5,0.046,-0.093
netcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.27,0.11,1.81,1.81,-0.052,-3.0,0.01,0.003
elcoin,08 Jan 2018,05 Feb 2018,28.0,114.0,5,saas,18,N/A,30000000.0,N/A,N/A,698,0,4528,N/A,N/A,0.0,11,-0.12,0.16,2.61,2.61,-223.15,-218.0,37.97,1.46
bitsum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,197160,0.18,1.43,2.86,2.86,-0.941,11.0,0.016,0.06
numus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,572644,-0.02,-0.02,-0.33,-0.33,-0.824,-2.5,-0.019,0.037
inflationcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,28,0.22,0.19,2.99,2.99,0.763,-4.0,0.091,-0.037
netko,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,44,0.35,0.16,2.54,2.54,-0.144,1.0,0.041,0.03
startcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27623,-0.43,-0.12,-1.94,-1.94,-0.068,-5.5,0.006,-0.007
greenmed,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,198085,-0.17,-1.36,-2.72,-2.72,-0.673,-2.0,-0.022,0.03
centurion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,12766,-0.37,0.03,0.54,0.54,-0.315,5.5,0.042,-0.143
zilbercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,16,0,N/A,N/A,N/A,0.0,13328,0.81,0.35,5.57,5.57,-0.207,17.0,0.024,0.153
deuscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7116,-0.12,0.05,0.76,0.76,-0.024,-10.5,0.007,-0.013
aerium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,22824,0.09,0.12,1.93,1.93,-0.132,12.0,0.019,-0.02
qbic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,384056,-0.23,-0.26,-4.15,-4.15,-0.544,-5.0,-0.022,-0.02
suretly,11 Jul 2017,11 Aug 2017,31.0,292.0,2,fintech,6,28000001.0,N/A,N/A,30.93,N/A,0,1288,N/A,N/A,-0.578,12585,-0.12,-0.04,-0.67,-0.67,-0.018,-8.0,0.004,0.01
lanacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,113,0.15,0.15,2.34,2.34,0.006,6.0,0.038,-0.007
unify,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3291,0.33,0.2,3.14,3.14,0.103,-7.5,0.039,-0.057
bitradio,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1225,0.23,0.15,2.33,2.33,-0.027,-6.5,0.024,0.0
drp utility,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aquariuscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1,0.3,0.19,3.02,3.02,-0.254,8.5,0.048,0.013
phoenixcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.22,0.09,1.42,1.42,-0.181,4.5,0.017,0.057
hobonickels,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,-0.01,0.1,1.58,1.58,0.195,-2.0,0.006,-0.007
jetcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,82,-0.08,0.09,1.5,1.5,-0.483,-0.5,0.073,-0.037
trollcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,93,0.27,0.23,3.64,3.64,0.247,-11.0,0.034,-0.013
cryptocarbon,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,14534,-0.01,-0.02,-0.38,-0.38,-0.333,-1.5,0.026,0.04
billionaire t...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
