name,age,price,hardcap,social,daily_views,daily_time,success
crowdcoinage,256.0,0.069,3000000.0,5645,3.0,93.0,0
blockex,266.0,1.11,39446151.0,2762,1.0,66.0,1
midex,222.0,1.0,75862069.0,1686,3.0,193.0,0
iht,295.0,0.119,35000000.0,28874,1.1,75.0,1
sureremit,286.0,0.02,10000000.0,12346,1.7,112.0,1
tokenomy,291.0,0.2037,28571429.0,4262,3.8,608.0,1
uservice,295.0,0.553,336159062.0,1099,1.2,81.0,0
aurora,316.0,3000.0,7283717.0,35531,1.6,108.0,1
bitcoen,332.0,1.0,19262331.0,4479,2.2,109.0,0
medibloc,343.0,0.015,31137817.0,4951,1.8,93.0,0
bankera,269.0,0.02,15094919.0,18164,1.5,112.0,1
karma,343.0,0.01,10000000.0,1283,1.4,204.0,1
paycent,358.0,0.757,227591300.0,25430,2.9,228.0,0
crypterium,313.0,1.5,51656963.0,27339,1.7,111.0,1
lucyd,268.0,0.25,10000000.0,197,1.9,105.0,1
dovu,402.0,0.11,28889922.0,195,2.0,106.0,0
wanchain,387.0,0.34,35990000.0,36208,1.4,122.0,1
dentacoin,387.0,0.0001,25941133.0,6568,1.8,177.0,0
ambrosus,397.0,0.294,98507061.0,3999,3.8,131.0,0
aeron,389.0,0.5,30610769.0,20446,1.1,107.0,0
icon,427.0,0.1052,45000000.0,19199,1.9,141.0,1
zonto,407.0,5.0,9975191.0,3341,4.4,278.0,1
cindicator,407.0,0.01,15000000.0,5439,1.9,169.0,1
kin,423.0,0.0002,74761255.0,25867,1.44,109.0,1
cartaxi,390.0,0.1347,67007223.0,1793,1.6,97.0,0
latoken,409.0,0.2985,40171645.0,7018,3.0,278.0,0
decentraland,472.0,0.024,24000000.0,39972,6.7,318.0,1
bitjob,406.0,0.39,11854017.0,2574,2.1,254.0,0
mybit,463.0,3.0138,4821429.0,2847,1.3,130.0,1
tezos,498.0,0.47,232000000.0,483,2.0,116.0,1
minter,23.0,0.0719,6336000.0,153,2.5,190.0,1
lifetask,353.0,0.01,35937482.0,37816,2.0,142.0,0
iov,68.0,0.12,29591594.0,7688,1.0,144.0,0
iotw,64.0,0.055,20000000.0,8134,3.4,342.0,0
lightstreams,43.0,0.15,22727273.0,11535,2.0,103.0,0
mobu,69.0,0.15,9437750.0,44163,1.4,120.0,0
tenzorum,53.0,0.23,6916814.0,8714,1.0,130.0,0
ecomi,97.0,0.05,23333333.0,6687,1.3,123.0,0
playchip,5.0,0.01,90000000.0,21362,1.6,87.0,1
icechain,2.0,0.0118,2440000.0,30425,1.0,82.0,1
ezeebuy,23.0,0.08,31666667.0,26,1.0,141.0,0
aeryus,7.0,0.08,1784029.0,15,1.0,66.0,0
bountie,16.0,0.0314,2436030.0,13655,1.7,118.0,0
xera,38.0,0.5,29555556.0,11358,1.3,126.0,0
spotcoin,27.0,0.5,30208333.0,27075,3.9,191.0,0
exosis,4.0,5.0,10000000.0,9332,1.4,145.0,1
kuende,7.0,0.0041,7157384.0,11112,2.2,200.0,0
hedge,404.0,0.6732,15000000.0,3552,1.0,96.0,0
terawatt,37.0,0.4,11416667.0,43692,5.3,460.0,1
agate,8.0,0.076,23544444.0,78696,2.6,168.0,0
snapparazzi,7.0,0.18,58823529.0,22121,1.3,124.0,0
agentmile,4.0,0.2,19940459.0,56913,2.3,133.0,1
pinmo,9.0,0.0896,3881160.0,3833,1.4,171.0,1
cloudbric,23.0,0.0158,1217035.0,11315,2.1,200.0,1
quizando,7.0,0.01,2950000.0,1599,1.3,110.0,0
lucre,18.0,0.25,55000000.0,3279,1.4,123.0,0
azbit,69.0,0.0001,26158000.0,36771,1.5,65.0,0
zue,24.0,0.6,50000000.0,41627,1.0,261.0,0
flipnpik,38.0,0.12,25000000.0,13147,3.0,128.0,0
imigize,34.0,0.069,60000000.0,1570,1.0,85.0,0
enkronos,3.0,0.6299,6258100.0,810,2.1,125.0,0
metadium,62.0,0.0425,10492100.0,16737,2.1,110.0,1
leopays,12.0,0.0882,30000.0,190,4.02,575.0,1
mira,54.0,1.0,19800000.0,929,1.0,41.0,0
arround,8.0,0.035,30000000.0,5241,1.3,113.0,1
bixtrim,32.0,1.0,65000000.0,11099,1.6,127.0,0
humancoin,22.0,0.01,26428220.0,8688,1.4,145.0,0
extradecoin,39.0,0.0426,10232518.0,11081,1.7,171.0,0
vendicoins,1.0,0.2,10000000.0,21508,1.5,141.0,0
ojooo,29.0,0.07,12096774.0,2221,29.4,1421.0,1
aergo,47.0,0.2,31868132.0,33710,2.5,239.0,1
sansox,44.0,0.15,7610200.0,14915,1.0,64.0,0
behaviourexchange,44.0,0.1,20000000.0,5047,2.0,76.0,0
foresting,44.0,0.0068,58292308.0,85412,4.8,194.0,0
araw,14.0,0.01,35559259.0,69619,1.3,115.0,0
daex,70.0,0.0652,2797572.0,8985,2.2,192.0,1
attrace,27.0,0.035,6033333.0,25330,1.7,153.0,1
pigzbe,23.0,0.12,8888889.0,36038,1.6,159.0,1
neluns,49.0,1.0,113333333.0,1206,1.4,135.0,0
bablos,13.0,4.578,8000000.0,241,1.6,144.0,0
cryptoleaf,44.0,0.1124,500000500.0,4122,1.0,115.0,1
zenome,67.0,1.0,1141379.0,780,2.0,195.0,1
aenco,54.0,0.1,60948148.0,7917,4.0,190.0,0
fintechfans,54.0,1.2,13260433.0,482,3.2,108.0,0
neironix,7.0,0.5,30000000.0,14999,1.8,149.0,0
idmoney,84.0,0.3404,27272727.0,1200,2.0,113.0,0
watermelonblock,53.0,0.116,7954545.0,8613,1.0,74.0,0
cryptics,60.0,0.2327,19904650.0,15621,1.9,137.0,0
alchemy,74.0,0.1998,59769231.0,4625,1.3,124.0,1
rubius,59.0,0.0295,2009462.0,7377,1.0,96.0,1
fanfare,23.0,0.0197,39130435.0,51578,1.9,146.0,0
swachhcoin,13.0,0.072,15068493.0,132985,1.9,148.0,1
careonchain,8.0,0.24,20000000.0,23879,4.0,165.0,0
scanetchain,74.0,0.0396,7927462.0,17121,1.0,134.0,1
xinfinity,84.0,0.1,24000000.0,35800,2.5,176.0,1
elpis,43.0,0.08,10000000.0,2328,1.0,124.0,0
medchain,79.0,0.43,15579867.0,10079,1.0,193.0,0
leadrex,14.0,0.1062,21000000.0,42880,1.4,125.0,0
dxchain,109.0,0.0014,21591718.0,8325,1.0,105.0,1
tombola,84.0,0.0451,11400000.0,59111,1.1,75.0,0
dream,86.0,0.35,21054240.0,310,3.0,111.0,0
pallium,159.0,0.084,4854400.0,74,1.0,75.0,0
vectorzilla,84.0,0.695,6900000.0,419,2.0,166.0,0
fxpay,23.0,1.6,45454545.0,83501,1.7,130.0,0
gabro,54.0,0.0465,50777778.0,28865,1.3,90.0,0
foam,105.0,0.08,24122807.0,10971,6.2,196.0,1
bitforex,115.0,0.0282,24000000.0,73683,10.0,412.0,1
bitsmo,40.0,0.21,20000000.0,22944,2.3,94.0,0
inmediate,109.0,0.04,16129032.0,31017,1.0,116.0,0
incodium,88.0,0.0093,13793103.0,84294,1.4,146.0,0
