coin,bloxverse_yr,bloxverse_sa,bloxverse_qr,icorating_hype,icorating_risk,icobazaar,icomarks,icobench,success,return_day1,volume_day1,sharpe_annual
icechain,0.8,0.74,0.18,0.3,N/A,N/A,0.78,N/A,1.0,-1.0,0.0,-100.0
bountie,0.88,0.84,0.26,N/A,N/A,N/A,0.87,N/A,0.1,-1.0,0.0,-100.0
spotcoin,0.74,0.66,0.24,0.7,0.7,N/A,0.94,N/A,0.48,-1.0,0.0,-100.0
kuende,0.76,0.68,0.26,0.3,0.5,N/A,0.91,N/A,0.45,-1.0,0.0,-100.0
agate,0.86,0.82,0.62,0.7,N/A,N/A,0.96,N/A,0.09,-1.0,0.0,-100.0
agentmile,0.8,0.76,0.28,0.7,N/A,N/A,0.9,N/A,0.93,-1.0,0.0,-100.0
pinmo,0.8,0.7,0.2,N/A,N/A,N/A,0.76,N/A,1.0,-1.0,0.0,-100.0
cloudbric,0.88,0.8,0.36,0.5,N/A,N/A,0.89,N/A,1.0,-1.0,0.0,-100.0
zue,0.72,0.66,0.1,0.3,N/A,N/A,0.64,0.56,0.06,-1.0,0.0,-100.0
imigize,0.76,0.72,0.1,0.5,0.7,0.7,0.73,N/A,0.05,-1.0,0.0,-100.0
metadium,0.88,0.88,0.72,0.5,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
leopays,0.6,0.42,0.14,0.5,N/A,N/A,0.8,N/A,1.0,-1.0,0.0,-100.0
arround,0.78,0.68,0.08,0.5,0.5,N/A,0.87,N/A,1.0,-1.0,0.0,-100.0
humancoin,0.82,0.78,0.22,0.9,0.5,N/A,0.88,N/A,0.25,-1.0,0.0,-100.0
extradecoin,0.92,0.96,0.36,0.5,0.9,N/A,0.91,N/A,0.17,-1.0,0.0,-100.0
ojooo,0.66,0.58,0.26,0.7,N/A,N/A,0.95,0.66,0.62,-1.0,0.0,-100.0
sansox,0.8,0.74,0.32,0.5,N/A,N/A,0.73,0.6,0.01,-1.0,0.0,-100.0
behaviourexchange,0.84,0.62,0.14,0.5,N/A,N/A,0.84,N/A,0.06,-1.0,0.0,-100.0
foresting,0.72,0.5,0.24,0.3,N/A,N/A,0.97,N/A,0.39,-1.0,0.0,-100.0
araw,0.84,0.7,0.32,0.7,0.5,N/A,0.91,N/A,0.27,-1.0,0.0,-100.0
daex,0.78,0.74,0.48,0.5,N/A,N/A,0.75,N/A,0.58,-1.0,0.0,-100.0
attrace,0.78,0.74,0.18,0.5,N/A,N/A,0.84,N/A,0.6,-1.0,0.0,-100.0
pigzbe,0.82,0.78,0.36,0.7,0.5,N/A,0.82,N/A,0.81,-1.0,0.0,-100.0
bablos,0.68,0.56,0.22,0.3,0.9,N/A,0.62,0.56,0.05,-1.0,0.0,-100.0
cryptoleaf,0.78,0.66,0.18,0.3,N/A,N/A,0.75,N/A,1.0,-1.0,0.0,-100.0
zenome,0.64,0.54,0.36,0.3,N/A,0.68,0.77,N/A,0.58,-1.0,0.0,-100.0
aenco,0.68,0.66,0.44,0.7,N/A,N/A,0.76,N/A,0.27,-1.0,0.0,-100.0
fintechfans,0.7,0.54,0.44,0.3,0.5,N/A,0.74,0.66,0.03,-1.0,0.0,-100.0
idmoney,0.62,0.6,0.42,0.3,N/A,N/A,0.73,0.6,0.11,-1.0,0.0,-100.0
watermelonblock,0.86,0.76,0.3,0.7,N/A,N/A,0.81,N/A,0.44,-1.0,0.0,-100.0
cryptics,0.78,0.82,0.66,0.7,0.5,N/A,0.91,N/A,0.06,-1.0,0.0,-100.0
alchemy,0.72,0.74,0.48,0.5,0.7,N/A,0.77,N/A,0.78,-1.0,0.0,-100.0
fanfare,0.82,0.8,0.32,0.7,N/A,N/A,0.9,N/A,0.23,-1.0,0.0,-100.0
swachhcoin,0.54,0.54,0.42,0.9,0.5,N/A,0.9,N/A,0.73,-1.0,0.0,-100.0
scanetchain,0.82,0.78,0.52,0.5,N/A,N/A,0.62,0.66,0.74,-1.0,0.0,-100.0
medchain,0.8,0.82,0.6,0.5,N/A,N/A,0.77,0.58,0.03,-1.0,0.0,-100.0
leadrex,0.82,0.74,0.2,0.5,N/A,N/A,0.91,N/A,0.15,-1.0,0.0,-100.0
dxchain,0.82,0.8,0.5,N/A,N/A,N/A,N/A,N/A,0.95,-1.0,0.0,-100.0
tombola,0.76,0.7,0.32,0.7,N/A,N/A,0.87,N/A,0.25,-1.0,0.0,-100.0
dream,0.78,0.66,0.6,0.9,0.5,N/A,0.93,N/A,0.48,-1.0,0.0,-100.0
vectorzilla,0.66,0.54,0.24,0.3,0.5,N/A,0.56,0.64,0.01,-1.0,0.0,-100.0
fxpay,0.84,0.56,0.18,0.7,0.5,N/A,0.84,N/A,0.33,-1.0,0.0,-100.0
gabro,0.78,0.78,0.42,0.5,N/A,N/A,0.85,N/A,0.09,-1.0,0.0,-100.0
foam,0.88,0.84,0.66,0.7,N/A,N/A,0.73,N/A,0.57,-1.0,0.0,-100.0
bitforex,0.8,0.64,0.46,0.7,0.9,N/A,0.73,N/A,1.0,-1.0,0.0,-100.0
