ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
Bancor,06/12/2017,17,https://www.bancor.network/,,203,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aira,06/11/2017,17,http://aira.life/,,204,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Zrcoin,06/09/2017,17,https://zrcoin.io/,,206,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
EcoBit,06/08/2017,17,http://www.ecobit.io/en/index.html,,207,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cofound.it,06/06/2017,17,https://cofound.it/en/,,209,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
VOISE,06/06/2017,17,https://voise.it/,,209,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Patientory,06/03/2017,17,https://patientory.com/,,212,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Embermine,06/02/2017,17,https://embermine.com/,,213,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Adel,06/01/2017,17,https://www.adelphoi.io/,,214,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Basic Attention Token,5/31/2017,17,https://basicattentiontoken.org/,,215,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Exscudo,5/31/2017,17,https://exscudo.com/,,215,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Mysterium Network,5/30/2017,17,https://mysterium.network/,,216,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Suretly,5/30/2017,17,https://www.ico.suretly.com/,,216,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Veritaseum,5/26/2017,17,http://veritas.veritaseum.com/,,220,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Metal,5/26/2017,17,https://www.metalpay.com/,,220,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
MobileGo,5/25/2017,17,https://mobilego.io/,,221,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Storj,5/25/2017,17,https://storj.io/index.html,,221,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
E4ROW,5/22/2017,17,https://www.e4row.co.il/,,224,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Viva Coin,5/21/2017,17,https://vivaco.in/,,225,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aragon,5/17/2017,17,https://aragon.one/,,229,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BitcoinGrowthFund,5/17/2017,17,https://bitcoingrowthfund.com/mcap,,229,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Peerplays,5/15/2017,17,https://www.peerplays.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Ethbits,5/15/2017,17,https://www.ethbits.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Legends Room,5/15/2017,17,https://legendsroomlv.com/,,231,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
